observacao_id,coord_x,coord_y,Cambissolo,Chernossolo,Gleissolo,Latossolo,Neossolo,Nitossolo,Flúvico,Háplico,Litólico,melânico,Regolítico,Vermelho,Ta,Tb,Distroférrico,Distrófico,Eutroférrico,Eutrófico,Férrico,fragmentário,latossólico,léptico,nitossólico,típico,textura_argilosa,textura_argilosa_cascalhenta,textura_muito_argilosa,textura_muito_argilosa_cascalhenta,textura_média,A_chernozêmico,A_moderado,forte_ondulado,montanhoso,ondulado,plano,suave_ondulado,A,Ag,Ap,Bg,Bi,Bi1,Bt,Bt2,Bw,profund_sup,profund_inf,areia_xxx_xxx,silte_xxx_xxx,argila_xxx_xxx,fosforo_xxx_xxx,carbono_xxx_xxx_xxx,ph_h2o_xxx_xxx,aluminio_kcl_xxx,acidez_potencial_xxx,calcio_trocavel_xxx,magnesio_trocavel_xxx,potassio_trocavel_xxx,bases_soma,ctc_xxx_xxx,bases_saturacao,aluminio_saturacao_calc
L2,485894,7399144,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,20,11.51277882,16.51981506,71.9827391,5.3,20.20,5.1,0,5.34,6.52,2.3,0.88,9.7,15.04,64,0
L2,485894,7399144,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,50,70,11.51277882,16.51981506,71.9827391,3.1,5.90,5.4,0,3.97,4.65,1.68,0.23,6.56,10.53,62,0
L3,488251,7395608,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,20,11.51277882,16.51981506,71.9827391,13.9,21.20,5.1,0,5.76,6.75,02.05,0.78,9.58,15.34,62,0
L3,488251,7395608,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,60,80,11.51277882,16.51981506,71.9827391,6.5,6.10,5.9,0,3.68,4.82,1.48,0.1,6.4,10.08,63,0
L4,492676,7398296,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,20,11.51277882,16.51981506,71.9827391,19.4,16.60,5.2,0,5.34,5.42,2.59,0.68,8.69,14.03,62,0
"L4
",492676,7398296,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,60,80,11.51277882,16.51981506,71.9827391,2.7,7.50,4.3,1.1,9,1.85,0.98,0.05,2.88,11.88,24,28
L5,492602,7397933,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,20,11.51277882,16.51981506,71.9827391,5.3,14.90,5.2,0,4.96,6.6,2.67,0.14,9.41,14.37,65,0
L5,492602,7397933,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,50,70,11.51277882,16.51981506,71.9827391,4.1,5.50,4.6,0.25,5.76,3.72,1.76,0.05,5.53,11.29,49,4
L6,494609,7398140,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,15,11.51277882,16.51981506,71.9827391,5.1,15.90,5.1,0,5.34,7.12,2.34,0.27,9.73,15.07,65,0
L6,494609,7398140,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,60,80,11.51277882,16.51981506,71.9827391,4.1,5.50,5.5,0,3.68,5.4,1.6,0.05,07.05,10.73,66,0
L7,496652,7394960,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,11.51277882,16.51981506,71.9827391,12,31.90,5.4,0,5.76,15.97,4.81,01.05,21.83,27.59,79,0
L8,491437,7395172,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15,11.51277882,16.51981506,71.9827391,12.3,12.60,4.5,0.41,7.75,4.55,1.93,0.61,07.09,14.84,48,5
L8,491437,7395172,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,70,11.51277882,16.51981506,71.9827391,7.1,5.90,4.5,01.05,7.2,3.1,1.48,0.07,4.65,11.85,39,18
L9,-,-,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20,11.51277882,16.51981506,71.9827391,1.8,23.30,5.3,0,6.2,7.75,2.26,0.44,10.45,16.65,63,0
L9,-,-,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,50,70,11.51277882,16.51981506,71.9827391,4.4,9.30,4.8,0.09,5.34,3.3,1.6,0.12,05.02,10.36,48,2
L10,491507,7389296,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,20,11.51277882,16.51981506,71.9827391,12.4,39.70,6.2,0,3.42,20.42,4.81,1.65,26.88,30.30,89,0
L11,490775,7387577,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,61.5768272,16.93103583,21.49213698,19.8,12.00,5.6,0,4.96,17.3,4.85,0.81,22.96,27.92,82,0
L11,490775,7387577,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,61.5768272,16.93103583,21.49213698,6.8,18.30,5.5,0,4.96,9.72,3.37,2.5,15.59,20.55,76,0
L12,490573,7387384,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,50,70,11.51277882,16.51981506,71.9827391,2.4,17.90,5.5,0,4.96,11.42,2.22,0.65,14.29,19.25,74,0
L13,491348,7384959,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15,11.51277882,16.51981506,71.9827391,5.6,24.00,5.1,0,6.68,8.15,02.05,1.15,11.35,18.03,63,0
L13,491348,7384959,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,50,70,11.51277882,16.51981506,71.9827391,2.4,6.70,5.7,0,3.68,7.17,1.76,0.53,9.46,13.14,72,0
L14,491770,7383358,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,20,11.51277882,16.51981506,71.9827391,3.1,21.50,5.3,0,5.76,5.85,3.2,0.12,9.17,14.93,61,0
L14,491770,7383358,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,50,70,11.51277882,16.51981506,71.9827391,1.9,19.60,4.2,2.75,12.12,1.22,0.78,0.03,02.03,14.15,14,58
L15,495589,7387117,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,20,11.51277882,16.51981506,71.9827391,1.6,23.50,4.5,0.49,7.75,2.82,1.11,0.14,04.07,11.82,34,11
