observacao_id,observacao_data,coord_sistema,coord_x,coord_y,coord_precisao,coord_fonte,pais_id,estado_id,municipio_id,amostra_tipo,amostra_quanti,amostra_area,taxon_sibcs_2006,relevo_local,relevo_elevacao,relevo_declividade,relevo_posicao
L1,xx-xx-2011,EPSG:32722,486313,7399817,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",forte ondulado,530,-,-
L2,xx-xx-2011,EPSG:32722,485894,7399144,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,608,12,-
L3,xx-xx-2011,EPSG:32722,488251,7395608,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,517,10,-
L4,xx-xx-2011,EPSG:32722,492676,7398296,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",ondulado,580,-,-
L5,xx-xx-2011,EPSG:32722,492602,7397933,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",ondulado,543,17,terço inferior
L6,xx-xx-2011,EPSG:32722,494609,7398140,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",plano,585,2,-
L7,xx-xx-2011,EPSG:32722,496652,7394960,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Regolítico Ta-Eutrófico típico, textura argilosa cascalhenta, A chernozêmico, fase pedregosa",forte ondulado,-,-,-
L8,xx-xx-2011,EPSG:32722,491437,7395172,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",ondulado,554,12,-
L9,xx-xx-2011,-,-,-,-,-,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",suave ondulado,-,-,-
L10,xx-xx-2011,EPSG:32722,491507,7389296,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Litólico Eutrófico típico, textura argilosa cascalhenta, fase pedregosa",montanhoso,600,-,-
L11,xx-xx-2011,EPSG:32722,490775,7387577,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Regolítico Eutrófico típico, textura média, A chernozêmico",forte ondulado,-,-,-
L12,xx-xx-2011,EPSG:32722,490573,7387384,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico léptico, textura muito argilosa, A moderado",ondulado,-,9,-
L13,xx-xx-2011,EPSG:32722,491348,7384959,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,-,14,-
L14,xx-xx-2011,EPSG:32722,491770,7383358,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",suave ondulado,761,5,-
L15,xx-xx-2011,EPSG:32722,495589,7387117,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",suave ondulado,703,3,-
L16,xx-xx-2011,EPSG:32722,484599,7398367,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,500,9,-
L17,xx-xx-2011,EPSG:32722,481005,7397000,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,574,9,-
L18,xx-xx-2011,EPSG:32722,481178,7397081,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Gleissolo Melânico Distrófico típico, textura argilosa, fase soterrada",plano,440,0,baixada
L19,xx-xx-2011,EPSG:32722,478440,7395311,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,520,7,-
L20,xx-xx-2011,EPSG:32722,478185,7392247,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",forte ondulado,-,20,-
L21,xx-xx-2011,EPSG:32722,480560,7388272,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,600,5,-
L22,xx-xx-2011,EPSG:32722,480365,7385484,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,-,3,-
L23,xx-xx-2011,EPSG:32722,478943,7385025,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Cambissolo Flúvico Eutrófico típico, textura argilosa, A moderado",plano,-,0,baixada
L24,xx-xx-2011,EPSG:32722,479224,7384962,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Regolítico Ta-Eutrófico típico, textura argilosa cascalhenta, A chernozêmico, fase substrato eruptiva",montanhoso,-,61,
L25,xx-xx-2011,EPSG:32722,479007,7380417,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura argilosa, A moderado",ondulado,660,-,-
