observacao_id,Unnamed: 1,camada_nome,profund_sup,profund_inf,fosforo_xxx_xxx,carbono_xxx_xxx_xxx,ph_h2o_xxx_xxx,aluminio_kcl_xxx,acidez_potencial_xxx,calcio_trocavel_xxx,magnesio_trocavel_xxx,potassio_trocavel_xxx,bases_soma,ctc_xxx_xxx,bases_saturacao,aluminio_saturacao_calc
33,,Ap,0,20,-,"26,90",-,-,-,-,-,-,"4,13","8,00",49,5
34,,A,0,15,-,"23,20",-,-,-,-,-,-,"3,86","9,00",42,11
34,,Bi,30,50,-,"13,60",-,-,-,-,-,-,"0,62","6,00",10,74
35,,A,0,20,-,"16,00",-,-,-,-,-,-,"2,51","8,00",30,22
35,,Bi,40,60,-,"12,40",-,-,-,-,-,-,"0,52","6,00",9,75
36,,A,0,20,-,"17,20",-,-,-,-,-,-,"3,76","9,00",41,18
37,,A,0,13,-,"25,70",-,-,-,-,-,-,"0,91","10,00",9,73
37,,Bi1,13,63,-,"5,10",-,-,-,-,-,-,"0,27","7,00",4,89
38,,A,0,15,-,"25,70",-,-,-,-,-,-,"6,5","11,00",60,3
L10,,Ap,0,20,"12,4","39,70","6,2",0,"3,42","20,42","4,81","1,65","26,88","30,30",89,0
L100,,Ap,0,20,"8,6","21,20","5,6",0,"5,34","12,47","2,79","0,88","16,14","21,48",75,0
L100,,Bt,50,70,"2,5","8,30","5,8",0,"3,97","11,6","1,85","0,25","13,7","17,67",78,0
L101,,Ap,0,20,"3,4","21,20","5,6",0,"5,34","8,47","1,31","0,38","10,16","15,50",66,0
L101,,Bw,50,70,"2,9","7,00","5,8",0,"3,97","5,3","0,86","0,1","6,26","10,23",61,0
L107,,A,0,16,30,"27,40","5,0","0,4",10,5,"1,9","0,49","7,39","17,39",42,5
L107,,Bw,75,135,10,"8,40","4,4","2,1","8,1","0,6","0,7","0,06","1,36","9,46",14,61
L108,,A,0,14,2,"17,10","6,0",0,"3,8","7,5","2,6","0,67","10,77","14,57",74,0
L108,,Bt2,67,111,2,"5,50","6,6",0,"2,2","5,7","2,4","0,73","8,83","11,03",80,0
L11,,Ap,0,20,"19,8","12,00","5,6",0,"4,96","17,3","4,85","0,81","22,96","27,92",82,0
L12,,Ap,0,20,"6,8","18,30","5,5",0,"4,96","9,72","3,37","2,5","15,59","20,55",76,0
L12,,Bt,50,70,"2,4","17,90","5,5",0,"4,96","11,42","2,22","0,65","14,29","19,25",74,0
L13,,Ap,0,15,"5,6","24,00","5,1",0,"6,68","8,15","2,05","1,15","11,35","18,03",63,0
L13,,Bt,50,70,"2,4","6,70","5,7",0,"3,68","7,17","1,76","0,53","9,46","13,14",72,0
L14,,Ap,0,20,"3,1","21,50","5,3",0,"5,76","5,85","3,2","0,12","9,17","14,93",61,0
L14,,Bw,50,70,"1,9","19,60","4,2","2,75","12,12","1,22","0,78","0,03","2,03","14,15",14,58
L15,,Ap,0,20,"1,6","23,50","4,5","0,49","7,75","2,82","1,11","0,14","4,07","11,82",34,11
L15,,Bw,50,70,"3,6","13,00","4,5","0,78","8,35","1,9","0,57","0,05","2,52","10,87",23,24
L16,,Ap,0,20,"3,6","23,00","5,2",0,"5,76","8,15","2,3","0,88","11,33","17,09",66,0
L16,,Bt,50,70,"2,9","24,30","5,8",0,"3,42","7,8","1,43","0,27","9,5","12,92",74,0
L17,,Ap,0,20,"4,8","21,50","5,3",0,"4,96",6,"2,71","0,35","9,06","14,02",65,0
L17,,Bw,50,70,"2,7","9,80","5,4",0,"3,97","4,47","1,15","0,07","5,69","9,66",59,0
L18,,Camada 1,0,30,"4,2","27,40","4,7","0,22",9,"6,9","3,24","0,27","10,41","19,41",54,2
